sky130_fd_sc_hs__a2bb2oi_1	A1_N:I A2_N:I B1:I B2:I VGND:I VNB:I VPB:I VPWR:I Y:O
Name	Formula	nd	ng	ns	nb	mname	m	w	l	mult	sa	sb	sd	topography	area	perim
MMNnor0	MOSFET	inor	A1_N	VGND	VNB	nlowvt	1	0.55	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MMNnor1	MOSFET	inor	A2_N	VGND	VNB	nlowvt	1	0.55	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MMNaoi10	MOSFET	VGND	B1	sndNB1	VNB	nlowvt	1	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MMNaoi11	MOSFET	sndNB1	B2	Y	VNB	nlowvt	1	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MMNaoi20	MOSFET	Y	inor	VGND	VNB	nlowvt	1	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MMPnor0	MOSFET	VPWR	A1_N	sndPA1N	VPB	pshort	1	1.0	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MMPnor1	MOSFET	sndPA1N	A2_N	inor	VPB	pshort	1	1.0	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MMPaoi10	MOSFET	pmid	B1	VPWR	VPB	pshort	1	1.12	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MMPaoi11	MOSFET	pmid	B2	VPWR	VPB	pshort	1	1.12	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MMPaoi20	MOSFET	Y	inor	pmid	VPB	pshort	1	1.12	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
