sky130_fd_sc_hs__sdfrbp_2	CLK:I D:I RESET_B:I SCD:I SCE:I VGND:I VNB:I VPB:I VPWR:I Q:O Q_N:O
Name	Formula	nd	ng	ns	nb	mname	m	w	l	mult	sa	sb	sd	topography	area	perim
MI642	MOSFET	clkneg	CLK	VGND	VNB	nfet_01v8_lvt	1	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI636	MOSFET	clkpos	clkneg	VGND	VNB	nfet_01v8_lvt	1	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI651	MOSFET	Q_N	s0	VGND	VNB	nfet_01v8_lvt	2	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI42	MOSFET	db	clkneg	M0	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI656	MOSFET	net92	s0	net126	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI657	MOSFET	net126	RESET_B	VGND	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI33	MOSFET	net119	RESET_B	VGND	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI634	MOSFET	sceb	SCE	VGND	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI4	MOSFET	M0	clkpos	net107	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI34	MOSFET	net107	M1	net119	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI655	MOSFET	s0	clkneg	net91	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI652	MOSFET	net187	s0	VGND	VNB	nfet_01v8_lvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI653	MOSFET	Q	net187	VGND	VNB	nfet_01v8_lvt	2	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI654	MOSFET	net91	net92	VGND	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI647	MOSFET	M1	M0	VGND	VNB	nfet_01v8_lvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI649	MOSFET	M1	clkpos	s0	VNB	nfet_01v8_lvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI666	MOSFET	net146	RESET_B	VGND	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.525	3.1
MI98	MOSFET	db	D	n0	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.525	3.1
MI103	MOSFET	n1	SCD	net146	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.525	3.1
MI120	MOSFET	db	SCE	n1	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.525	3.1
MI104	MOSFET	n0	sceb	net146	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.525	3.1
MI643	MOSFET	clkneg	CLK	VPWR	VPB	pfet_01v8	1	1.12	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI635	MOSFET	clkpos	clkneg	VPWR	VPB	pfet_01v8	1	1.12	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI43	MOSFET	db	clkpos	M0	VPB	pfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI662	MOSFET	net215	net92	VPWR	VPB	pfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI659	MOSFET	net92	RESET_B	VPWR	VPB	pfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI664	MOSFET	s0	clkpos	net215	VPB	pfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI658	MOSFET	net92	s0	VPWR	VPB	pfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI30	MOSFET	net194	M1	VPWR	VPB	pfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI31	MOSFET	M0	clkneg	net194	VPB	pfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI32	MOSFET	M0	RESET_B	VPWR	VPB	pfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI663	MOSFET	net187	s0	VPWR	VPB	pfet_01v8	1	1.0	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI660	MOSFET	Q	net187	VPWR	VPB	pfet_01v8	2	1.12	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI661	MOSFET	Q_N	s0	VPWR	VPB	pfet_01v8	2	1.12	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI648	MOSFET	M1	M0	VPWR	VPB	pfet_01v8	1	1.0	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI650	MOSFET	M1	clkneg	s0	VPB	pfet_01v8	1	1.0	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI633	MOSFET	sceb	SCE	VPWR	VPB	pfet_01v8	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI101	MOSFET	db	sceb	p1	VPB	pfet_01v8	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI107	MOSFET	p0	SCE	VPWR	VPB	pfet_01v8	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI94	MOSFET	db	D	p0	VPB	pfet_01v8	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI108	MOSFET	p1	SCD	VPWR	VPB	pfet_01v8	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI665	MOSFET	db	RESET_B	VPWR	VPB	pfet_01v8	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
