sky130_fd_sc_hs__sedfxtp_2	CLK:I D:I DE:I SCD:I SCE:I VGND:I VNB:I VPB:I VPWR:I Q:O
Name	Formula	nd	ng	ns	nb	mname	m	w	l	mult	sa	sb	sd	topography	area	perim
MI14	MOSFET	net146	M1	VPWR	VPB	pshort	1	1.0	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI637	MOSFET	clkpos	clkneg	VPWR	VPB	pshort	1	1.12	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI13	MOSFET	S0	clkneg	net146	VPB	pshort	1	1.0	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI651	MOSFET	db	clkpos	M0	VPB	pshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI645	MOSFET	Q	S0	VPWR	VPB	pshort	2	1.12	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI658	MOSFET	net114	M1	VPWR	VPB	pshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI638	MOSFET	clkneg	CLK	VPWR	VPB	pshort	1	1.12	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI643	MOSFET	net118	q1	VPWR	VPB	pshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI639	MOSFET	M1	M0	VPWR	VPB	pshort	1	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI644	MOSFET	S0	clkpos	net118	VPB	pshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI659	MOSFET	M0	clkneg	net114	VPB	pshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI17	MOSFET	q1	S0	VPWR	VPB	pshort	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI33	MOSFET	net107	deneg	VPWR	VPB	pshort	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI47	MOSFET	net98	sceneg	db	VPB	pshort	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI46	MOSFET	VPWR	SCD	net98	VPB	pshort	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI31	MOSFET	net95	D	net107	VPB	pshort	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI42	MOSFET	net95	SCE	db	VPB	pshort	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI40	MOSFET	net78	q1	net95	VPB	pshort	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI36	MOSFET	deneg	DE	VPWR	VPB	pshort	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI38	MOSFET	VPWR	DE	net78	VPB	pshort	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI44	MOSFET	sceneg	SCE	VPWR	VPB	pshort	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI634	MOSFET	M1	M0	VGND	VNB	nlowvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI636	MOSFET	clkpos	clkneg	VGND	VNB	nlowvt	1	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI635	MOSFET	clkneg	CLK	VGND	VNB	nlowvt	1	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI641	MOSFET	net222	q1	VGND	VNB	nlowvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI642	MOSFET	S0	clkneg	net222	VNB	nlowvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI648	MOSFET	db	clkneg	M0	VNB	nlowvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI646	MOSFET	Q	S0	VGND	VNB	nlowvt	2	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI656	MOSFET	net211	M1	VGND	VNB	nlowvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI657	MOSFET	M0	clkpos	net211	VNB	nlowvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI43	MOSFET	net95	sceneg	db	VNB	nlowvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI18	MOSFET	q1	S0	VGND	VNB	nlowvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI45	MOSFET	sceneg	SCE	VGND	VNB	nlowvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI32	MOSFET	net95	D	net190	VNB	nlowvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
